item,itemLabel,politicalPartyLabel,positionHeldLabel,positionEnd,positionStart
http://www.wikidata.org/entity/Q16988,Liu Shaoqi,Communist Party of China,President of the People's Republic of China,1968-10-31T00:00:00Z,1959-04-27T00:00:00Z
http://www.wikidata.org/entity/Q17132,Soong Ching-ling,Communist Party of China,Vice President of the People's Republic of China,1975-01-17T00:00:00Z,1959-04-27T00:00:00Z
http://www.wikidata.org/entity/Q22513,Zhu De,Communist Party of China,Vice President of the People's Republic of China,1959-04-27T00:00:00Z,1954-09-27T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,Premier of the State Council of the People's Republic of China,1976-01-08T00:00:00Z,1954-09-27T00:00:00Z
http://www.wikidata.org/entity/Q16988,Liu Shaoqi,Communist Party of China,Chairman of the Standing Committee of the National People's Congress,1959-04-18T00:00:00Z,1954-09-27T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,member of the Politburo Standing Committee of the Communist Party of China,1976-01-08T00:00:00Z,1956-09-28T00:00:00Z
http://www.wikidata.org/entity/Q5816,Mao Zedong,Communist Party of China,Chairman of the Central Military Commission of the Chinese Communist Party,1976-09-09T00:00:00Z,1945-08-23T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,member of the National People's Congress,1976-01-08T00:00:00Z,1954-09-15T00:00:00Z
http://www.wikidata.org/entity/Q22513,Zhu De,Communist Party of China,Vice Chairman of the Communist Party of China,1966-08-01T00:00:00Z,1956-09-28T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,Vice Chairman of the Communist Party of China,1966-08-01T00:00:00Z,1956-09-28T00:00:00Z
http://www.wikidata.org/entity/Q5816,Mao Zedong,Communist Party of China,Chairman of the National Committee of the Chinese People's Political Consultative Conference,1954-09-27T00:00:00Z,1949-09-21T00:00:00Z
http://www.wikidata.org/entity/Q5816,Mao Zedong,Communist Party of China,President of the People's Republic of China,1959-04-27T00:00:00Z,1954-09-27T00:00:00Z
http://www.wikidata.org/entity/Q22513,Zhu De,Communist Party of China,Secretary of the Central Commission for Discipline Inspection,1955-03-01T00:00:00Z,1949-11-01T00:00:00Z
