item,itemLabel,politicalPartyLabel,positionHeldLabel,positionEnd,positionStart,militaryRankLabel,militaryRankStart,ismilitaryRankPIT,militaryEnd,nextHighestMilitaryRankLabel,nextLowestMilitaryRankLabel
http://www.wikidata.org/entity/Q8298445,Wang Ping,Communist Party of China,,,,Shang Jiang,1955-09-27T00:00:00Z,0.0,,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8298445,Wang Ping,Communist Party of China,,,,Shang Jiang,1955-09-27T00:00:00Z,0.0,,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q7327,Yuri Gagarin,Communist Party of the Soviet Union,,,,lieutenant,1957-11-05T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q7327,Yuri Gagarin,Communist Party of the Soviet Union,,,,senior lieutenant,1959-11-06T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q6854077,Ni Zhiliang,Communist Party of China,,,,lieutenant general,1955-01-01T00:00:00Z,0.0,,colonel general,major general
http://www.wikidata.org/entity/Q4451388,Tao Zhiyue,Communist Party of China,,,,Shang Jiang,1955-09-27T00:00:00Z,0.0,,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4451388,Tao Zhiyue,Communist Party of China,,,,Shang Jiang,1955-09-27T00:00:00Z,0.0,,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299269,Guo Tianmin,Communist Party of China,,,,Shang Jiang,1955-09-27T00:00:00Z,0.0,,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299269,Guo Tianmin,Communist Party of China,,,,Shang Jiang,1955-09-27T00:00:00Z,0.0,,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q699118,Liu Yalou,Communist Party of China,,,,Kong Jun Shang Jiang,1955-09-27T00:00:00Z,0.0,,,Kong Jun Zhong Jiang
http://www.wikidata.org/entity/Q8299846,Liu Zhen,Communist Party of China,,,,Kong Jun Shang Jiang,1955-09-27T00:00:00Z,0.0,,,Kong Jun Zhong Jiang
http://www.wikidata.org/entity/Q42398,Mikhail Sholokhov,Communist Party of the Soviet Union,,,,colonel,1943-01-01T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q191702,Semyon Timoshenko,Communist Party of the Soviet Union,,,,Komandarm 2nd rank,1937-09-10T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q191702,Semyon Timoshenko,Communist Party of the Soviet Union,,,,Marshal of the Soviet Union,1940-05-07T00:00:00Z,0.0,,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q191702,Semyon Timoshenko,Communist Party of the Soviet Union,,,,Komandarm 1st rank,1939-02-08T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q191702,Semyon Timoshenko,Communist Party of the Soviet Union,,,,Comcor,1935-09-30T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4065435,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,,,,colonel general,1956-11-26T00:00:00Z,0.0,,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q4065435,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,,,,major,1939-05-05T00:00:00Z,0.0,,lieutenant colonel,captain
http://www.wikidata.org/entity/Q4065435,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,,,,major general,1942-05-03T00:00:00Z,0.0,,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q4065435,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,,,,lieutenant general,1945-04-20T00:00:00Z,0.0,,colonel general,major general
http://www.wikidata.org/entity/Q4065435,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,,,,Red Army man,1924-10-01T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4065435,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,,,,senior politruk,1936-04-17T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4065435,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,,,,colonel,1940-02-13T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4065509,Nikolay Andreyev,Communist Party of the Soviet Union,,,,Red Army man,1940-09-01T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4065509,Nikolay Andreyev,Communist Party of the Soviet Union,,,,podpolkovnik,1952-04-12T00:00:00Z,0.0,,colonel,major
http://www.wikidata.org/entity/Q4065509,Nikolay Andreyev,Communist Party of the Soviet Union,,,,senior lieutenant,1943-05-06T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4065509,Nikolay Andreyev,Communist Party of the Soviet Union,,,,lieutenant,1942-08-13T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4065509,Nikolay Andreyev,Communist Party of the Soviet Union,,,,colonel,1957-06-29T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4065509,Nikolay Andreyev,Communist Party of the Soviet Union,,,,mladshy leytenant,1942-03-17T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4065509,Nikolay Andreyev,Communist Party of the Soviet Union,,,,captain,1945-03-09T00:00:00Z,0.0,,major,senior lieutenant
http://www.wikidata.org/entity/Q4065509,Nikolay Andreyev,Communist Party of the Soviet Union,,,,major,1949-03-14T00:00:00Z,0.0,,lieutenant colonel,captain
http://www.wikidata.org/entity/Q550892,Alexander Koldunov,Communist Party of the Soviet Union,,,,lieutenant,1943-09-23T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q550892,Alexander Koldunov,Communist Party of the Soviet Union,,,,podpolkovnik,1949-05-06T00:00:00Z,0.0,,colonel,major
http://www.wikidata.org/entity/Q550892,Alexander Koldunov,Communist Party of the Soviet Union,,,,sub-lieutenant,1943-03-30T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q550892,Alexander Koldunov,Communist Party of the Soviet Union,,,,Air Force major general,1957-12-07T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q550892,Alexander Koldunov,Communist Party of the Soviet Union,,,,colonel,1952-12-30T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q550892,Alexander Koldunov,Communist Party of the Soviet Union,,,,senior lieutenant,1944-02-15T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q550892,Alexander Koldunov,Communist Party of the Soviet Union,,,,major,1945-04-09T00:00:00Z,0.0,,lieutenant colonel,captain
http://www.wikidata.org/entity/Q319470,Ivan Kozhedub,Communist Party of the Soviet Union,,,,captain,1944-04-24T00:00:00Z,0.0,,major,senior lieutenant
http://www.wikidata.org/entity/Q319470,Ivan Kozhedub,Communist Party of the Soviet Union,,,,Air Force major general,1953-08-03T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q319470,Ivan Kozhedub,Communist Party of the Soviet Union,,,,colonel,1951-01-03T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q319470,Ivan Kozhedub,Communist Party of the Soviet Union,,,,major,1944-11-19T00:00:00Z,0.0,,lieutenant colonel,captain
http://www.wikidata.org/entity/Q319470,Ivan Kozhedub,Communist Party of the Soviet Union,,,,Senior sergeant,1942-02-23T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q319470,Ivan Kozhedub,Communist Party of the Soviet Union,,,,senior lieutenant,1943-11-10T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q319470,Ivan Kozhedub,Communist Party of the Soviet Union,,,,sergeant,1941-02-01T00:00:00Z,0.0,,,corporal
http://www.wikidata.org/entity/Q319470,Ivan Kozhedub,Communist Party of the Soviet Union,,,,lieutenant,1943-08-05T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q319470,Ivan Kozhedub,Communist Party of the Soviet Union,,,,podpolkovnik,1949-01-20T00:00:00Z,0.0,,colonel,major
http://www.wikidata.org/entity/Q242474,Semyon Budyonny,Communist Party of the Soviet Union,,,,Marshal of the Soviet Union,1935-09-22T00:00:00Z,0.0,,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q170842,Sergei Korolev,Communist Party of the Soviet Union,,,,colonel,1945-01-01T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q185024,Ivan Konev,Communist Party of the Soviet Union,,,,Komandarm 2nd rank,1939-02-08T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q185024,Ivan Konev,Communist Party of the Soviet Union,,,,Marshal of the Soviet Union,1944-02-20T00:00:00Z,0.0,,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q185024,Ivan Konev,Communist Party of the Soviet Union,,,,colonel general,1941-09-11T00:00:00Z,0.0,,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q185024,Ivan Konev,Communist Party of the Soviet Union,,,,General of the army,1943-08-26T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q185024,Ivan Konev,Communist Party of the Soviet Union,,,,lieutenant general,1940-06-04T00:00:00Z,0.0,,colonel general,major general
http://www.wikidata.org/entity/Q185024,Ivan Konev,Communist Party of the Soviet Union,,,,Comcor,1938-02-22T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q185024,Ivan Konev,Communist Party of the Soviet Union,,,,Komdiv,1935-11-26T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4064997,Mikhail Borisoviсh Anashkin,Communist Party of the Soviet Union,,,,colonel,1942-01-09T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4064997,Mikhail Borisoviсh Anashkin,Communist Party of the Soviet Union,,,,major general,1943-01-15T00:00:00Z,0.0,,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q4064997,Mikhail Borisoviсh Anashkin,Communist Party of the Soviet Union,,,,lieutenant general,1945-07-11T00:00:00Z,0.0,,colonel general,major general
http://www.wikidata.org/entity/Q523332,Yevgeny Savitsky,Communist Party of the Soviet Union,,,,major,1941-01-01T00:00:00Z,0.0,,lieutenant colonel,captain
http://www.wikidata.org/entity/Q523332,Yevgeny Savitsky,Communist Party of the Soviet Union,,,,lieutenant,1936-01-01T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q523332,Yevgeny Savitsky,Communist Party of the Soviet Union,,,,podpolkovnik,1941-11-06T00:00:00Z,0.0,,colonel,major
http://www.wikidata.org/entity/Q523332,Yevgeny Savitsky,Communist Party of the Soviet Union,,,,Air Force major general,1943-03-17T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q523332,Yevgeny Savitsky,Communist Party of the Soviet Union,,,,Air Force lieutenant general,1944-05-11T00:00:00Z,0.0,,,
